ID;Name;Designator;Footprint;Quantity;Manufacturer Part;Manufacturer;Supplier;Supplier Part
1;RCLAMP0521PATCT;D10;D0402-BI;1;RCLAMP0521PATCT;SEMTECH;LCSC;C117554
2;10K;R1,R3,R7,R8,R10,R17;R0402;6;0402WGF1002TCE;UniOhm;LCSC;C25744
3;GT-TC029B-H025-L1N;PROG,RESET;SW-SMD_L3.9-W2.9-P4.15-LS5.0;2;GT-TC029B-H025-L1N;G-Switch;LCSC;C843669
4;PRTR5V0U2X_C2827688;D8;SOT-143-4_L2.9-W1.3-P1.92-LS2.4-BL;1;PRTR5V0U2X;TECH PUBLIC(台舟);LCSC;C2827688
5;ESP32-S3-WROOM-1(N16R8);U1;WIRELM-SMD_ESP32-S3-WROOM-1;1;ESP32-S3-WROOM-1(N16R8);ESPRESSIF(乐鑫);LCSC;C2913202
6;33K;R6,R5;R0402;2;0402WGF3302TCE;UniOhm;LCSC;C25779
7;120K;R18;R0402;1;0402WGF1203TCE;UniOhm;LCSC;C25750
8;22uF;C6;C0805;1;CL21A226MAYNNNE;Samsung Electro-Mechanics;LCSC;C602037
9;USB3.1C16PFSMT;USBC;USB-C-SMD_TYPE-C-USB-17;1;-;LCSC;LCSC;C167321
10;1N4148;D9,D1,D2,D3;SOD-323_L1.8-W1.3-LS2.5-RD;4;1N4148WS T4;CJ;LCSC;C2128
11;1uF;C5,C3;C0402;2;CL05A105KA5NQNC;SAMSUNG;LCSC;C52923
12;91K;R4;R0402;1;0402WGF9102TCE;UniOhm;LCSC;C4147
13;MF-MSMF110/16-2;F1;F1812;1;MF-MSMF110/16-2;BOURNS;LCSC;C210834
14;DSS34;D6,D7,D4;SOD-123_L2.8-W1.8-LS3.7-RD;3;DSS34;STARSEA;LCSC;C84632
15;22uF;C10,C11,C12,C8,C9;C0603;5;CL10A226MQ8NRNC;SAMSUNG;LCSC;C59461
16;100uF;C1;CAP-SMD_L3.5-W2.8;1;TAJB107K006RNJ;AVX;LCSC;C16133
17;100nF;C2,C4;C0402_NEW;2;CL05B104KO5NNNC;SAMSUNG;LCSC;C1525
18;10nF;C7;C0402;1;CL05B103KB5NNNC;SAMSUNG;LCSC;C15195
19;SS34;D5;DO-214AC_L4.3-W2.7-LS5.3-RD;1;SS34;MDD;LCSC;C8678
20;10uH;L1;IND-SMD_L6.0-W6.0_SLP6028S;1;SLP6028S100MTT;Sunltech Tech;LCSC;C254862
21;SS8050;Q1;SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR;1;SS8050;CJ;LCSC;C2150
22;120;R2;R1206;1;RTT061200FTP;RALEC;LCSC;C159715
23;30.9K;R9;R0402;1;0402WGF3092TCE;Uniroyal Elec;LCSC;C270615
24;5.1K;R11,R12;R0402;2;0402WGF5101TCE;UniOhm;LCSC;C25905
25;2.2K;R13;R0402;1;0402WGF2201TCE;UniOhm;LCSC;C25879
26;1K;R14,R15;R0402;2;0402WGF1001TCE;UniOhm;LCSC;C11702
27;12K;R16;R0402;1;0402WGF1202TCE;UniOhm;LCSC;C25752
28;19-217/BHC-ZL1M2RY/3T;BLUE;LED0603-R-RD;1;19-217/BHC-ZL1M2RY/3T;EVERLIGHT;LCSC;C72041
29;19-217/GHC-YR1S2/3T;GREEN;LED0603-R-RD;1;19-217/GHC-YR1S2/3T;EVERLIGHT;LCSC;C72043
30;SN65HVD230DR;U2;SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL;1;SN65HVD230DR;TI;LCSC;C12084
31;ME2807A33M3G;U3;SOT-23_L2.9-W1.3-P1.90-LS2.4-BR;1;ME2807A33M3G;Nanjing Micro One Elec;LCSC;C236755
32;LMR12010XMK;U4;SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR;1;LMR12010XMK;TI;LCSC;C57930
33;MT9700;U5;SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR;1;MT9700;AEROSEMI;LCSC;C89855
34;19-213/Y2C-CQ2R2L/3T(CY);YELLOW;LED0603-R-RD;1;19-213/Y2C-CQ2R2L/3T(CY);EVERLIGHT;LCSC;C72038
